instance_id,baseline_completed_at,baseline_model_calls,baseline_total_tokens,baseline_budget_sha256,baseline_p0_patch_sha256,baseline_final_patch_sha256,baseline_terminal_status,method_model_calls,method_total_tokens,method_budget_sha256,method_p0_patch_sha256,method_final_patch_sha256,method_terminal_status
astropy__astropy-7746,2026-09-20T07:16:54.687427+00:00,35,608567,a9b44075261fe5bae005c1705b2b4e54c6d0d362201ecbe136a6ad6306f15a08,6c08b8138c91eed53b5f057abc66aaf1888bfd1a39fbea53b1c362107f3ab7e1,6c08b8138c91eed53b5f057abc66aaf1888bfd1a39fbea53b1c362107f3ab7e1,EVIDENCE_LIMITED,29,467648,94a6266b72af1842b44c4ab9ab74a93e1ef16d2aa92a6a04c5037b6280b7c4ab,6c08b8138c91eed53b5f057abc66aaf1888bfd1a39fbea53b1c362107f3ab7e1,6c08b8138c91eed53b5f057abc66aaf1888bfd1a39fbea53b1c362107f3ab7e1,EVIDENCE_LIMITED
astropy__astropy-14182,2026-09-20T07:33:00.087464+00:00,36,681669,da5c7fc331fd9515721a368922f62319157970a9ee203643685401ad94dd71c7,e3e7ed32eb8fcdbdcdc35aa82bc4429c9da4c6dcd98dffe0a575b303fd3677bc,e3e7ed32eb8fcdbdcdc35aa82bc4429c9da4c6dcd98dffe0a575b303fd3677bc,EVIDENCE_LIMITED,34,607449,9ff03c6562a90c98ed897659aaff08d36afe9c2051f4601fb94d21ce5790315f,9a91c54f3a0f2fd2882a1d5075470d7eeaaef95fb533830a71dbd9bbf4769b13,9a91c54f3a0f2fd2882a1d5075470d7eeaaef95fb533830a71dbd9bbf4769b13,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-10924,2026-09-20T07:34:37.680601+00:00,16,234987,a1ec17a2920e5b94cb503c4d78534717fb97c2340dffcb4a6ac4464f23cf0471,0e9ee103a2619157df40fbe994e3f4823303dcde70919383a74e5ae5506f860e,0e9ee103a2619157df40fbe994e3f4823303dcde70919383a74e5ae5506f860e,BEST_EFFORT_BUDGET_EXHAUSTED,10,139283,f97123f46c2e8e5e1842661bebdbedb0f8b5b4f282fc020c3332f37f7b75063c,0e9ee103a2619157df40fbe994e3f4823303dcde70919383a74e5ae5506f860e,0e9ee103a2619157df40fbe994e3f4823303dcde70919383a74e5ae5506f860e,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-11019,2026-09-20T07:40:43.910181+00:00,16,260902,93e987f590633f3cdba79b71f5b87f0559b1eb4a4da15f62ef051f0df3e9979f,4dc5784ce8cd95cdd34469cfc846b61df4cc459726320ffff9679852b80179f4,4dc5784ce8cd95cdd34469cfc846b61df4cc459726320ffff9679852b80179f4,BEST_EFFORT_BUDGET_EXHAUSTED,7,62085,4520ac5ab34c47e7caf9c8d6ffc2485f12fdd5efac7d0f44f2b53e5c4555c307,49e25cd2aac0daf1aa862cd7e80340c5a473e310900f51345cae5f3f2618c589,49e25cd2aac0daf1aa862cd7e80340c5a473e310900f51345cae5f3f2618c589,EVIDENCE_LIMITED
django__django-11564,2026-09-20T07:53:41.411420+00:00,18,144180,4dfc63bb6f780d16df220cb302cdb0f20a076dda4c710eee844f00186ab15dc4,94c6c663bfc2294a9b3cd3680eaa4af398be736bebaa4519cf265f18f7ec1c58,94c6c663bfc2294a9b3cd3680eaa4af398be736bebaa4519cf265f18f7ec1c58,EVIDENCE_LIMITED,19,173553,76fb34766cfaaca42be89a98a6f061ca6a70a29382cf37c3641fc9b5e4254358,b824be31b64e0dfa107be2802c36f7dcf02f8368f546347d4934fc9887110ec4,b824be31b64e0dfa107be2802c36f7dcf02f8368f546347d4934fc9887110ec4,EVIDENCE_LIMITED
django__django-12308,2026-09-20T07:59:05.547572+00:00,40,548178,23d050679d825b17f3fa878691a1999de712f9bbd6b9e2f923f7723da88fddcd,75a69e5a7d711275f2d938d1e02060c2051abbed4a0b240a246e45ccd0764bbd,75a69e5a7d711275f2d938d1e02060c2051abbed4a0b240a246e45ccd0764bbd,EVIDENCE_LIMITED,11,47560,06b7b58cabb229d1cef66bf8e4088c8addfb83fbfe47420503d2e215b43378a8,90a26f585b726b9381d471957a1ace2435143d43d689885d51cfb568adb27ff3,90a26f585b726b9381d471957a1ace2435143d43d689885d51cfb568adb27ff3,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-11742,2026-09-20T08:07:41.889655+00:00,24,226899,ae137959155ec10fa7604753130256e6b7e01f5e4b35868497292e2dae4de92c,98e3cf9eb048a30e0a85060006d1dbd47e987b5feca734df5b78a34f102c57aa,6d3a0bb1b54b5cb59b41a6e2886039ffe94675fb6032aa5c159585cfc4b8bb57,REACHED,12,75627,d0b86b6dc69e531386b7b43bb3c79685cc661de0d1a15b19354e831a43355f22,f15e5f4585d2b4e5517c78ee9c66fc3017bf8a852d6834a5c110c97aa5213fda,f15e5f4585d2b4e5517c78ee9c66fc3017bf8a852d6834a5c110c97aa5213fda,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-11905,2026-09-20T08:09:37.210135+00:00,32,634552,634d2960d779cf8f9d3a5593e8f7d1c8c2ff39f50cb4020989c60377e1bd9fe5,c0e34d0e36e078fb74af85c8c72920841827f72aae31b09a1f9e041d41960700,c0e34d0e36e078fb74af85c8c72920841827f72aae31b09a1f9e041d41960700,BEST_EFFORT_BUDGET_EXHAUSTED,26,606735,83dc071cbc18f52092fa74d90f97431f265b1791d417c671386677a92dea20d4,c0e34d0e36e078fb74af85c8c72920841827f72aae31b09a1f9e041d41960700,c0e34d0e36e078fb74af85c8c72920841827f72aae31b09a1f9e041d41960700,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-12747,2026-09-20T08:18:38.854356+00:00,19,234229,cb2f6c2815d51669cab0108023c6daf9c5859d06f8ee437bba976642031c8dc4,d65d3f3729fbd685037f97952472dc8b4d10892cec901bc9ea1154a0495ea3a7,d65d3f3729fbd685037f97952472dc8b4d10892cec901bc9ea1154a0495ea3a7,EVIDENCE_LIMITED,29,513917,ba916b80498077ca1aa32be3857b2c6096492003c00610fa12ddd449bbef4b9e,b2b731e8d37101d1e3bd8f6d5acd856efcb2889d50664242bcf0e733c4f13954,b2b731e8d37101d1e3bd8f6d5acd856efcb2889d50664242bcf0e733c4f13954,EVIDENCE_LIMITED
django__django-13220,2026-09-20T08:28:18.571592+00:00,14,163366,2a175e946c458da798d35ff5fd4a601da536659fde0609fcd261b8bd1e24f0d3,56efa05c3ffb8649914ce4f40106a8e40d8730cc139c775e86f6da012a24cea8,56efa05c3ffb8649914ce4f40106a8e40d8730cc139c775e86f6da012a24cea8,EVIDENCE_LIMITED,10,115047,621bfb9f88c3f709a74e1f33c906ba33403d895081b356ec418a22b5397e9a03,56efa05c3ffb8649914ce4f40106a8e40d8730cc139c775e86f6da012a24cea8,56efa05c3ffb8649914ce4f40106a8e40d8730cc139c775e86f6da012a24cea8,EVIDENCE_LIMITED
